ItemNum,Pic_Sent,Plaus_Implaus,Stimulus,List,img_name,banreti,nom,nom1_ap,nom2_ap,szórend
1,pic,plaus,01_plaus_cop_arrests_criminal.jpg,1,IMG_0160.JPG,,a gyanús alak ellenőrzése#a rendőr ellenőrzése,p,a,
1,pic,implaus,01_implaus_criminal_arrests_cop.jpg,2,IMG_0159.JPG,,a gyanús alak ellenőrzése#a rendőr ellenőrzése,a,p,
1,sent,plaus,The cop is arresting the criminal.,2,IMG_0160.JPG,A gyanús alakot ellenőrzi a rendőr.,a gyanús alak ellenőrzése#a rendőr ellenőrzése,p,a,OVS
1,sent,implaus,The criminal is arresting the cop.,1,IMG_0159.JPG,A rendőrt ellenőrzi a gyanús alak.,a gyanús alak ellenőrzése#a rendőr ellenőrzése,a,p,OVS
2,pic,plaus,02_plaus_babysitter_scolding_child.jpg,2,IMG_0162.JPG,,a nő szidása#a kisfiú szidása,a,p,
2,pic,implaus,02_implaus_child_scolding_babysitter.jpg,1,IMG_0161.JPG,,a nő szidása#a kisfiú szidása,p,a,
2,sent,plaus,The babysitter is scolding the child.,1,IMG_0162.JPG,A nő szidja a kisfiút.,a nő szidása#a kisfiú szidása,a,p,SVO
2,sent,implaus,The child is scolding the babysitter.,2,IMG_0161.JPG,A kisfiú szidja a nőt.,a nő szidása#a kisfiú szidása,p,a,SVO
3,pic,plaus,03_plaus_doctor_uses_stethoscope_on_patient.jpg,1,IMG_0164.JPG,,a férfi vizsgálása#a doktornő vizsgálása,p,a,
3,pic,implaus,03_implaus_patient_uses_stethoscope_on_doctor.jpg,2,IMG_0163.JPG,,a férfi vizsgálása#a doktornő vizsgálása,a,p,
3,sent,plaus,The doctor is using a stethoscope on the patient.,2,IMG_0164.JPG,A férfit vizsgálja a doktornő.,a férfi vizsgálása#a doktornő vizsgálása,p,a,OVS
3,sent,implaus,The patient is using a stethoscope on the doctor.,1,IMG_0163.JPG,A doktornőt vizsgálja a férfi.,a férfi vizsgálása#a doktornő vizsgálása,a,p,OVS
4,pic,plaus,04_plaus_fireman_rescuse_grandmother.jpg,2,IMG_0166.JPG,,a néni szállítása#a tűzoltó szállítása,p,a,
4,pic,implaus,04_implaus_grandmother_rescuse_fireman.jpg,1,IMG_0165.JPG,,a néni szállítása#a tűzoltó szállítása,a,p,
4,sent,plaus,The fireman is rescuing the grandmother.,1,IMG_0166.JPG,A tűzoltó szállítja a nénit.,a néni szállítása#a tűzoltó szállítása,p,a,SVO
4,sent,implaus,The grandmother is rescuing the fireman.,2,IMG_0165.JPG,A néni szállítja a tűzoltót.,a néni szállítása#a tűzoltó szállítása,a,p,SVO
5,pic,plaus,05_plaus_dentist_treating_patient.jpg,1,IMG_0168.JPG,,a srác kezelése#a fogorvos kezelése,p,a,
5,pic,implaus,05_implaus_patient_treating_dentist.jpg,2,IMG_0167.JPG,,a srác kezelése#a fogorvos kezelése,a,p,
5,sent,plaus,The dentist is treating the patient.,2,IMG_0168.JPG,A srácot kezeli a fogorvos.,a srác kezelése#a fogorvos kezelése,p,a,OVS
5,sent,implaus,The patient is treating the dentist.,1,IMG_0167.JPG,A fogorvost kezeli a srác.,a srác kezelése#a fogorvos kezelése,a,p,OVS
6,pic,plaus,06_plaus_ghost_frightens_girl.jpg,2,IMG_0171.JPG,,a lány rémisztése#a szellem rémisztése,p,a,
6,pic,implaus,06_implaus_girl_frightens_ghost.jpg,1,IMG_0169.JPG,,a lány rémisztése#a szellem rémisztése,a,p,
6,sent,plaus,The ghost is frightening the girl.,1,IMG_0171.JPG,A szellem rémiszti a lányt.,a lány rémisztése#a szellem rémisztése,p,a,SVO
6,sent,implaus,The girl is frightening the ghost.,2,IMG_0169.JPG,A lány rémiszti a szellemet.,a lány rémisztése#a szellem rémisztése,a,p,SVO
7,pic,plaus,07_plaus_mother_feeding_baby.jpg,1,IMG_0173.JPG,,a nő etetése#a gyerek etetése,a,p,
7,pic,implaus,07_implaus_baby_feeding_mother.jpg,2,IMG_0172.JPG,,a nő etetése#a gyerek etetése,p,a,
7,sent,plaus,The mother is feeding the baby.,2,IMG_0173.JPG,A nő eteti a gyereket.,a nő etetése#a gyerek etetése,a,p,SVO
7,sent,implaus,The baby is feeding the mother.,1,IMG_0172.JPG,A nőt eteti a gyerek.,a nő etetése#a gyerek etetése,p,a,OVS
8,pic,plaus,08_plaus_artist_painting_business_man.jpg,2,IMG_0176.JPG,,a modell festése#a művész festése,p,a,
8,pic,implaus,08_implaus_business_man_painting_artist.jpg,1,IMG_0175.JPG,,a modell festése#a művész festése,a,p,
8,sent,plaus,The artist is painting the businessman.,1,IMG_0176.JPG,A modellt festi a művész.,a modell festése#a művész festése,p,a,OVS
8,sent,implaus,The businessman is painting the artist.,2,IMG_0175.JPG,A művészt festi a modell.,a modell festése#a művész festése,a,p,OVS
9,pic,plaus,09_plaus_groom_carries_bride.jpg,1,IMG_0178.JPG,,a menyasszony emelése#a vőlegény emelése,p,a,
9,pic,implaus,09_implaus_bride_carries_groom.jpg,2,IMG_0177.JPG,,a menyasszony emelése#a vőlegény emelése,a,p,
9,sent,plaus,The groom is carrying the bride.,2,IMG_0178.JPG,A vőlegény karjába emeli a menyasszonyt.,a menyasszony emelése#a vőlegény emelése,p,a,SVO
9,sent,implaus,The bride is carrying the groom.,1,IMG_0177.JPG,A menyasszony karjába emeli a vőlegényt.,a menyasszony emelése#a vőlegény emelése,a,p,SVO
10,pic,plaus,10_plaus_jester_entertains_king.jpg,2,IMG_0203.JPG,,a bohóc szórakoztatása#a király szórakoztatása,a,p,
10,pic,implaus,10_implaus_king_entertain_jester.jpg,1,IMG_0179.JPG,,a bohóc szórakoztatása#a király szórakoztatása,p,a,
10,sent,plaus,The jester is entertaining the king.,1,IMG_0203.JPG,A királyt szórakoztatja a bohóc.,a bohóc szórakoztatása#a király szórakoztatása,a,p,OVS
10,sent,implaus,The king is entertaining the jester.,2,IMG_0179.JPG,A bohócot szórakoztatja a király.,a bohóc szórakoztatása#a király szórakoztatása,p,a,OVS
11,pic,plaus,11_plaus_lion_chases_guide.jpg,1,IMG_0182.JPG,,a turista üldözése#az oroszlán üldözése,p,a,
11,pic,implaus,11_implaus_guide_chases_lion.jpg,2,IMG_0181.JPG,,a turista üldözése#az oroszlán üldözése,a,p,
11,sent,plaus,The lion is pouncing on the Safari guide.,2,IMG_0182.JPG,Az oroszlán üldözi a turistát. ,a turista üldözése#az oroszlán üldözése,p,a,SVO
11,sent,implaus,The Safari guide is pouncing on the lion.,1,IMG_0181.JPG,A turista üldözi az oroszlánt.,a turista üldözése#az oroszlán üldözése,a,p,SVO
12,pic,plaus,12_plaus_photographer_photographes_model.jpg,2,IMG_0184.JPG,,a férfi fotózása#a manöken fotózása,a,p,
12,pic,implaus,12_implaus_model_photographes_photographer.jpg,1,IMG_0183.JPG,,a férfi fotózása#a manöken fotózása,p,a,
12,sent,plaus,The photographer is taking a picture of the model.,1,IMG_0184.JPG,A manökent fotózza a férfi.,a férfi fotózása#a manöken fotózása,a,p,OVS
12,sent,implaus,The model is taking a picture of the photographer.,2,IMG_0183.JPG,A férfit fotózza a manöken.,a férfi fotózása#a manöken fotózása,p,a,OVS
13,pic,plaus,13_plaus_pirate_kidnaping_princess.jpg,1,IMG_0245.JPG,,a hercegnő rablása#a kalóz rablása,p,a,
13,pic,implaus,13_implaus_princess_kidnaping_pirate.jpg,2,IMG_0185.JPG,,a hercegnő rablása#a kalóz rablása,a,p,
13,sent,plaus,The pirate is kidnapping the princess.,2,IMG_0245.JPG,A kalóz éppen elrabolja a hercegnőt.,a hercegnő rablása#a kalóz rablása,p,a,SVO
13,sent,implaus,The princess is kidnapping the pirate.,1,IMG_0185.JPG,A hercegnő éppen elrabolja a kalózt.,a hercegnő rablása#a kalóz rablása,a,p,SVO
14,pic,plaus,14_plaus_priest_blesses_bride.jpg,2,IMG_0188.JPG,,a menyasszony áldása#a pap áldása,p,a,
14,pic,implaus,14_implaus_bride_blesses_priest.jpg,1,IMG_0186.JPG,,a menyasszony áldása#a pap áldása,a,p,
14,sent,plaus,The priest is blessing the bride.,1,IMG_0188.JPG,A pap áldja a menyasszonyt.,a menyasszony áldása#a pap áldása,p,a,SVO
14,sent,implaus,The bride is blessing the priest.,2,IMG_0186.JPG,A menyasszony áldja a papot.,a menyasszony áldása#a pap áldása,a,p,SVO
15,pic,plaus,15_plaus_shark_bites_snorkeler.jpg,1,IMG_0190.JPG,,a cápa veszélyeztetése#a búvár veszélyeztetése,a,p,
15,pic,implaus,15_implaus_snorkler_bites_shark.jpg,2,IMG_0189.JPG,,a cápa veszélyeztetése#a búvár veszélyeztetése,p,a,
15,sent,plaus,The shark is biting the snorkeler.,2,IMG_0190.JPG,A búvárt veszélyezteti a cápa.,a cápa veszélyeztetése#a búvár veszélyeztetése,a,p,OVS
15,sent,implaus,The snorkeler is biting the shark.,1,IMG_0189.JPG,A cápát veszélyezteti a búvár.,a cápa veszélyeztetése#a búvár veszélyeztetése,p,a,OVS
16,pic,plaus,16_plaus_professor_lectures_to_a_student.jpg,2,IMG_0193.JPG,,a kislány okítása#a tanár okítása,p,a,
16,pic,implaus,16_implaus_student_lectures_to_a_professor.jpg,1,IMG_0191.JPG,,a kislány okítása#a tanár okítása,a,p,
16,sent,plaus,The professor is lecturing to the student.,1,IMG_0193.JPG,A kislányt okítja a tanár.,a kislány okítása#a tanár okítása,p,a,OVS
16,sent,implaus,The student is lecturing to the professor.,2,IMG_0191.JPG,A tanárt okítja a kislány.,a kislány okítása#a tanár okítása,a,p,OVS
17,pic,plaus,17_plaus_vampir_bites_woman.jpg,1,IMG_0195.JPG,,a vámpir ijesztése#a nő ijesztése,a,p,
17,pic,implaus,17_implaus_woman_bites_vampir.jpg,2,IMG_0194.JPG,,a vámpir ijesztése#a nő ijesztése,p,a,
17,sent,plaus,The vampire is biting the woman.,2,IMG_0195.JPG,A vámpír ijeszti a nőt.,a vámpir ijesztése#a nő ijesztése,a,p,
17,sent,implaus,The woman is biting the vampire.,1,IMG_0194.JPG,A nő ijeszti a vámpírt.,a vámpir ijesztése#a nő ijesztése,p,a,SVO
18,pic,plaus,18_plaus_waiter_serving_customer.jpg,2,IMG_0198.JPG,,a pincér itatása#a turista itatása,a,p,SVO
18,pic,implaus,18_implaus_customer_serving_waiter.jpg,1,IMG_0196.JPG,,a pincér itatása#a turista itatása,p,a,
18,sent,plaus,The waiter is serving the customer.,1,IMG_0198.JPG,A turistát itatja a pincér.,a pincér itatása#a tursita itatása,a,p,OVS
18,sent,implaus,The customer is serving the waiter.,2,IMG_0196.JPG,A pincért itatja a turista.,a pincér itatása#a tursita itatása,p,a,OVS
19,pic,plaus,19_plaus_man_gives_to_beggar.jpg,1,IMG_0200.JPG,,az úr támogatása#a szegényember támogatása,a,p,
19,pic,implaus,19_implaus_beggar_gives_to_man.jpg,2,IMG_0199.JPG,,az úr támogatása#a szegényember támogatása,p,a,
19,sent,plaus,The lawyer is giving money to the beggar.,2,IMG_0200.JPG,Az úr pénzzel támogatja a szegényembert.,az úr támogatása#a szegényember támogatása,a,p,SVO
19,sent,implaus,The beggar is giving money to the lawyer.,1,IMG_0199.JPG,A szegényember pénzzel támogatja az urat.,az úr támogatása#a szegényember támogatása,p,a,SVO
20,pic,plaus,20_plaus_chef_cooks_for_lady.jpg,2,IMG_0202.JPG,,a hölgy táplálása#a szakács táplálása,p,a,
20,pic,implaus,20_implaus_lady_cooks_for_chef.jpg,1,IMG_0201.JPG,,a hölgy táplálása#a szakács táplálása,a,p,
20,sent,plaus,The chef is cooking for the lady.,1,IMG_0202.JPG,A szakács táplálja a hölgyet.,a hölgy táplálása#a szakács táplálása,p,a,SVO
20,sent,implaus,The lady is cooking for the chef.,2,IMG_0201.JPG,A hölgy táplálja a szakácsot.,a hölgy táplálása#a szakács táplálása,a,p,SVO
21,pic,plaus,21_plaus_ballerina_dances_for_grandpa.jpg,1,IMG_0205.JPG,,a lány vidítása#az úr vidítása,a,p,
21,pic,implaus,21_implaus_grandpa_dances_for_ballerina.jpg,2,IMG_0204.JPG,,a lány vidítása#az úr vidítása,p,a,
21,sent,plaus,The ballerina is dancing for the grandpa.,2,IMG_0205.JPG,A lány tánccal vidítja az urat.,a lány vidítása#az úr vidítása,a,p,SVO
21,sent,implaus,The grandpa is dancing for the ballerina.,1,IMG_0204.JPG,Az úr tánccal vidítja a lányt.,a lány vidítása#az úr vidítása,p,a,SVO
22,pic,plaus,22_plaus_journalist_interviews_sports_star.jpg,2,IMG_0207.JPG,,a focista faggatása#a riporter faggatása,p,a,
22,pic,implaus,22_implaus_sports_star_interviews_journalist.jpg,1,IMG_0206.JPG,,a focista faggatása#a riporter faggatása,a,p,
22,sent,plaus,The journalist is interviewng the sportsstar.,1,IMG_0207.JPG,A riporter faggatja a focistát.,a focista faggatása#a riporter faggatása,p,a,SVO
22,sent,implaus,The sportsstar is interviewing the journalist.,2,IMG_0206.JPG,A focista faggatja a riportert.,a focista faggatása#a riporter faggatása,a,p,SVO
23,pic,plaus,23_plaus_judge_sentences_criminal.jpg,1,IMG_0209.JPG,,a bíró büntetése#a rab büntetése,a,p,
23,pic,implaus,23_implaus_criminal_sentences_judge.jpg,2,IMG_0208.JPG,,a bíró büntetése#a rab büntetése,p,a,
23,sent,plaus,The judge is sentencing the criminal.,2,IMG_0209.JPG,A rabot bünteti a bíró.,a bíró büntetése#a rab büntetése,a,p,OVS
23,sent,implaus,The criminal is sentencing the judge.,1,IMG_0208.JPG,A bírót bünteti a rab.,a bíró büntetése#a rab büntetése,p,a,OVS
24,pic,plaus,24_plaus_father_pulls_child.jpg,2,IMG_0211.JPG,,a gyerek húzása#a férfi húzása,p,a,
24,pic,implaus,24_implaus_child_pulls_father.jpg,1,IMG_0210.JPG,,a gyerek húzása#a férfi húzása,a,p,
24,sent,plaus,The father is pulling the child on the sled.,1,IMG_0211.JPG,A férfi húzza a gyereket a szánkón.,a gyerek húzása#a férfi húzása,p,a,SVO
24,sent,implaus,The child is pulling the father on the sled.,2,IMG_0210.JPG,A gyerek húzza a férfit a szánkón.,a gyerek húzása#a férfi húzása,a,p,SVO
25,pic,plaus,25_plaus_santa_gives_present_to_girl.jpg,1,IMG_0213.JPG,,a kislány ajándékozása#a Mikulás ajándékozása,p,a,
25,pic,implaus,25_implaus_girl_gives_present_to_santa.jpg,2,IMG_0212.JPG,,a kislány ajándékozása#a Mikulás ajándékozása,a,p,
25,sent,plaus,Santa is giving the girl a present.,2,IMG_0213.JPG,A Mikulás megajándékozza a kislányt.,a kislány ajándékozása#a Mikulás ajándékozása,p,a,SVO
25,sent,implaus,The girl is giving Santa a present.,1,IMG_0212.JPG,A kislány megajándékozza a Mikulást.,a kislány ajándékozása#a Mikulás ajándékozása,a,p,SVO
26,pic,plaus,26_plaus_peasant_bows_to_queen.jpg,2,IMG_0215.JPG,,az alattvaló üdvözlése#a királynő üdvözlése,a,p,
26,pic,implaus,26_implaus_queen_bows_to_peasant.jpg,1,IMG_0214.JPG,,az alattvaló üdvözlése#a királynő üdvözlése,p,a,
26,sent,plaus,The peasant is bowing to the queen.,1,IMG_0215.JPG,A királynőt üdvözli az alattvaló.,az alattvaló üdvözlése#a királynő üdvözlése,a,p,OVS
26,sent,implaus,The queen is bowing to the peasant.,2,IMG_0214.JPG,Az alattvalót üdvözli a királynő.,az alattvaló üdvözlése#a királynő üdvözlése,p,a,OVS
27,pic,plaus,27_plaus_lady_applauds_the_athlete.jpg,1,IMG_0217.JPG,,az atléta ünneplése#a lány ünneplése,p,a,
27,pic,implaus,27_implaus_athlete_applauds_the_lady.jpg,2,IMG_0216.JPG,,az atléta ünneplése#a lány ünneplése,a,p,
27,sent,plaus,The lady is applauding the athlete.,2,IMG_0217.JPG,Az atlétát ünnepli a lány.,az atléta ünneplése#a lány ünneplése,p,a,OVS
27,sent,implaus,The athlete is applauding the lady.,1,IMG_0216.JPG,A lányt ünnepli az atléta.,az atléta ünneplése#a lány ünneplése,a,p,OVS
28,pic,plaus,28_plaus_father_laces_shoes_of_child.jpg,2,IMG_0219.JPG,,a kisfiú öltöztetése#a papa öltöztetése,p,a,
28,pic,implaus,28_implaus_child_laces_shoes_of_father.jpg,1,IMG_0218.JPG,,a kisfiú öltöztetése#a papa öltöztetése,a,p,
28,sent,plaus,The father is tying the son's shoes.,1,IMG_0219.JPG,A kisfiút öltözteti a papa.,a kisfiú öltöztetése#a papa öltöztetése,p,a,OVS
28,sent,implaus,The son is tying the father's shoes.,2,IMG_0218.JPG,A papát öltözteti a kisfiú.,a kisfiú öltöztetése#a papa öltöztetése,a,p,OVS
29,pic,plaus,29_plaus_thief_steals_from_grandma.jpg,1,IMG_0221.JPG,,a nő bántása#a fiú bántása,p,a,
29,pic,implaus,29_implaus_grandma_steals_from_thief.jpg,2,IMG_0220.JPG,,a nő bántása#a fiú bántása,a,p,
29,sent,plaus,The thief is stealing the purse from the grandma.,2,IMG_0221.JPG,A fiú éppen bántja a nőt,a nő bántása#a fiú bántása,p,a,SVO
29,sent,implaus,The grandma is stealing the purse from the thief.,1,IMG_0220.JPG,A nő éppen bántja a fiút.,a nő bántása#a fiú bántása,a,p,SVO
30,pic,plaus,30_plaus_cat_chases_mouse.jpg,2,IMG_0223.JPG,,az egér kergetése#a macska kergetése,p,a,
30,pic,implaus,30_implaus_mouse_chases_cat.jpg,1,IMG_0222.JPG,,az egér kergetése#a macska kergetése,a,p,
30,sent,plaus,The cat is chasing the mouse.,1,IMG_0223.JPG,A macska kergeti az egeret.,az egér kergetése#a macska kergetése,p,a,SVO
30,sent,implaus,The mouse is chasing the cat.,2,IMG_0222.JPG,Az egér kergeti a macskát.,az egér kergetése#a macska kergetése,a,p,SVO
31,pic,plaus,31_plaus_visitor_pushes_nurse.jpg,1,IMG_0225.JPG,,a fiú tolása#a nő tolása,p,a,
31,pic,implaus,31_implaus_patient_pushes_visitor.jpg,2,IMG_0224.JPG,,a fiú tolása#a nő tolása,a,p,
31,sent,plaus,The visitor is pushing the patient.,2,IMG_0225.JPG,A sérült fiút a székben tolja a nő.,a fiú tolása#a nő tolása,p,a,OVS
31,sent,implaus,The patient is pushing the visitor.,1,IMG_0224.JPG,A nőt a székben tolja a sérült fiú.,a fiú tolása#a nő tolása,a,p,OVS
32,pic,plaus,32_plaus_relative_visits_patient.jpg,2,IMG_0227.JPG,,a beteg látogatása#a nő látogatása,p,a,
32,pic,implaus,32_implaus_patient_visits_relative.jpg,1,IMG_0226.JPG,,a beteg látogatása#a nő látogatása,a,p,
32,sent,plaus,The relative is bringing flowers to the patient.,1,IMG_0227.JPG,A beteget a kórházban látogatja a nő.,a beteg látogatása#a nő látogatása,p,a,OVS
32,sent,implaus,The patient is bringing flowers to the relative.,2,IMG_0226.JPG,A nőt látogatja a beteg a kórházban.,a beteg látogatása#a nő látogatása,a,p,OVS
33,pic,plaus,33_plaus_boss_orders_worker.jpg,1,IMG_0229.JPG,,a munkás kiutasítása#a főnök kiutasítása,p,a,
33,pic,implaus,33_implaus_worker_orders_boss.jpg,2,IMG_0228.JPG,,a munkás kiutasítása#a főnök kiutasítása,a,p,
33,sent,plaus,The boss is yelling at the worker.,2,IMG_0229.JPG,A főnök kiutasítja a munkást.,a munkás kiutasítása#a főnök kiutasítása,p,a,SVO
33,sent,implaus,The worker is yelling at the boss.,1,IMG_0228.JPG,A munkás kiutasítja főnököt.,a munkás kiutasítása#a főnök kiutasítása,a,p,SVO
34,pic,plaus,34_plaus_dog_leading_blind_person.jpg,2,IMG_0231.JPG,,a kutya vezetése#a vak vezetése,a,p,
34,pic,implaus,34_implaus_blind_person_leading_dog.jpg,1,IMG_0230.JPG,,a kutya vezetése#a vak vezetése,p,a,
34,sent,plaus,The dog is leading the blind person.,1,IMG_0231.JPG,A kutya vezeti a vakot.,a kutya vezetése#a vak vezetése,a,p,SVO
34,sent,implaus,The blind person is leading the dog.,2,IMG_0230.JPG,A vak vezeti a kutyát.,a kutya vezetése#a vak vezetése,p,a,SVO
35,pic,plaus,35_plaus_bouncer_rejects_girl.jpg,1,IMG_0233.JPG,,a testőr akadályozása#a lány akadályozása,a,p,
35,pic,implaus,35_implaus_girl_rejects_bouncer.jpg,2,IMG_0232.JPG,,a testőr akadályozása#a lány akadályozása,p,a,
35,sent,plaus,The bouncer is preventing the woman from entering.,2,IMG_0233.JPG,A lányt akadályozza a testőr.,a testőr akadályozása#a lány akadályozása,a,p,OVS
35,sent,implaus,The woman is preventing the bouncer from entering.,1,IMG_0232.JPG,A testőrt akadályozza a lány.,a testőr akadályozása#a lány akadályozása,p,a,OVS
36,pic,plaus,36_plaus_dog_licking_child.jpg,2,IMG_0235.JPG,,a lány puszilása#a kutya puszilása,p,a,
36,pic,implaus,36_implaus_child_licking_dog.jpg,1,IMG_0234.JPG,,a lány puszilása#a kutya puszilása,a,p,
36,sent,plaus,The dog is licking the girl on the face.,1,IMG_0235.JPG,A lányt puszilja a kutya.,a lány puszilása#a kutya puszilása,p,a,OVS
36,sent,implaus,The girl is licking the dog on the face.,2,IMG_0234.JPG,A kutyát puszilja a lány.,a lány puszilása#a kutya puszilása,a,p,OVS
37,pic,plaus,37_plaus_man_proposing_to_woman.jpg,1,IMG_0237.JPG,,a férfi eljegyzése#a nő eljegyzése,a,p,
37,pic,implaus,37_implaus_woman_proposing_to_man.jpg,2,IMG_0236.JPG,,a férfi eljegyzése#a nő eljegyzése,p,a,
37,sent,plaus,The man is proposing to the woman.,2,IMG_0237.JPG,A férfi eljegyzi a nőt.,a férfi eljegyzése#a nő eljegyzése,a,p,SVO
37,sent,implaus,The woman is proposing to the man.,1,IMG_0236.JPG,A nő eljegyzi a férfit.,a férfi eljegyzése#a nő eljegyzése,p,a,SVO
38,pic,plaus,38_plaus_tailor_measuring_princess.jpg,2,IMG_0239.JPG,,a szabó öltöztetése#a hercegnő öltöztetése,a,p,
38,pic,implaus,38_implaus_princess_measuring_tailor.jpg,1,IMG_0238.JPG,,a szabó öltöztetése#a hercegnő öltöztetése,p,a,
38,sent,plaus,The tailor is measuring the princess.,1,IMG_0239.JPG,A szabó öltözteti a hercegnőt.,a szabó öltöztetése#a hercegnő öltöztetése,a,p,SVO
38,sent,implaus,The princess is measuring the tailor.,2,IMG_0238.JPG,A hercegő öltözteti a szabót.,a szabó öltöztetése#a hercegnő öltöztetése,p,a,SVO
39,pic,plaus,39_plaus_lifeguard_saves_grandma.jpg,1,IMG_0241.JPG,,a fiú mentése#a nagymama mentése,a,p,
39,pic,implaus,39_implaus_grandma_saves_lifeguard.jpg,2,IMG_0240.JPG,,a fiú mentése#a nagymama mentése,p,a,
39,sent,plaus,The lifeguard is saving the grandmother.,2,IMG_0241.JPG,A fiú menti a vízből a nagymamát.,a fiú mentése#a nagymama mentése,a,p,SVO
39,sent,implaus,The grandmother is saving the lifeguard.,1,IMG_0240.JPG,A nagymama menti a vízből a fiút.,a fiú mentése#a nagymama mentése,p,a,SVO
40,pic,plaus,40_plaus_chauffeur_opens_door_for_lady.jpg,2,IMG_0158.JPG,,a sofőr segítése#az utas segítése,a,p,
40,pic,implaus,40_implaus_lady_opens_door_for_chauffeur.jpg,1,IMG_0156.JPG,,a sofőr segítése#az utas segítése,p,a,
40,sent,plaus,The chauffeur is opening the door for the lady.,1,IMG_0158.JPG,A sofőr az ajtókinyitással segíti az utast.,a sofőr segítése#az utas segítése,a,p,SVO
40,sent,implaus,The lady is opening the door for the chauffeur.,2,IMG_0156.JPG,Az utas az ajtókinyitással segíti a sofőrt.,a sofőr segítése#az utas segítése,p,a,SVO
